,instrument_key,name
0,NSE_EQ|INE053F08353,IRFC 7.57% 2029 SR 175
1,NSE_EQ|INE733E01010,NTPC LTD
2,NSE_EQ|INE059A01026,CIPLA LTD
3,NSE_EQ|INE129A01019,GAIL (INDIA) LTD
4,NSE_EQ|INE075A01022,WIPRO LTD
5,NSE_EQ|INE040A01034,HDFC BANK LTD
6,NSE_EQ|INE238A01034,AXIS BANK LIMITED
7,NSE_EQ|INE236A01020,HCL INFOSYSTEMS LTD
8,NSE_EQ|INE669C01036,TECH MAHINDRA LIMITED
9,NSE_EQ|INE326A01037,LUPIN LIMITED
10,NSE_EQ|INE323A01026,BOSCH LIMITED
11,NSE_EQ|INE003A01024,SIEMENS LTD
12,NSE_EQ|INE016A01026,DABUR INDIA LTD
13,NSE_EQ|INE271C01023,DLF LIMITED
14,NSE_EQ|INE257A01026,BHEL
15,NSE_EQ|INE133A01011,AKZO NOBEL INDIA LIMITED
16,NSE_EQ|INE868B01028,NCC LIMITED
17,NSE_EQ|INE154A01025,ITC LTD
18,NSE_EQ|INE095N01031,NBCC (INDIA) LIMITED
19,BSE_EQ|INE114A07869,SAIL9AX141024PVT
20,NSE_EQ|INE859A01011,PNB GILTS LIMITED
21,NSE_INDEX|NIFTY AlphaLowVol,NIFTY AlphaLowVol
22,NSE_EQ|INE245A01021,TATA POWER CO LTD
23,NSE_EQ|INE467B01029,TATA CONSULTANCY SERV LT
24,NSE_EQ|INE239A01024,NESTLE INDIA LIMITED
25,NSE_EQ|INE259A01022,COLGATE PALMOLIVE LTD.
26,NSE_EQ|INE095A01012,INDUSIND BANK LIMITED
27,NSE_EQ|INE176B01034,HAVELLS INDIA LIMITED
28,NSE_EQ|INE263A01024,BHARAT ELECTRONICS LTD
